,id1,name1,id2,name2,p1,p2
0,100284,Jimmy Connors,103819,Roger Federer,0.1281709372997284,0.8718290328979492
1,100284,Jimmy Connors,100656,Ivan Lendl,0.46190446615219116,0.5380955338478088
2,100284,Jimmy Connors,100581,John Mcenroe,0.5997413992881775,0.4002586305141449
3,100284,Jimmy Connors,104745,Rafael Nadal,0.13540498912334442,0.8645949363708496
4,100284,Jimmy Connors,104925,Novak Djokovic,0.31256213784217834,0.687437891960144
5,100284,Jimmy Connors,101948,Pete Sampras,0.3049980103969574,0.695002019405365
6,100284,Jimmy Connors,100437,Bjorn Borg,0.8085508346557617,0.1914491355419159
7,100284,Jimmy Connors,100282,Guillermo Vilas,0.6334519386291504,0.3665480613708496
8,100284,Jimmy Connors,101736,Andre Agassi,0.5116934180259705,0.48830655217170715
9,100284,Jimmy Connors,100119,Ilie Nastase,0.6713666319847107,0.3286333680152893
10,100284,Jimmy Connors,101414,Boris Becker,0.5409671068191528,0.4590328335762024
11,100284,Jimmy Connors,100029,Rod Laver,0.5884228348731995,0.4115771949291229
12,100284,Jimmy Connors,104918,Andy Murray,0.130804181098938,0.869195818901062
13,100284,Jimmy Connors,101404,Thomas Muster,0.7993853688240051,0.2006145566701889
14,100284,Jimmy Connors,101222,Stefan Edberg,0.2670005261898041,0.7329995036125183
15,100284,Jimmy Connors,100126,Stan Smith,0.6102402806282043,0.38975974917411804
16,100284,Jimmy Connors,102021,Michael Chang,0.6021531224250793,0.39784684777259827
17,100284,Jimmy Connors,100074,Arthur Ashe,0.2526927590370178,0.747307300567627
18,100284,Jimmy Connors,100016,Ken Rosewall,0.590294599533081,0.40970540046691895
19,100284,Jimmy Connors,101062,Mats Wilander,0.5880875587463379,0.4119124412536621
20,103819,Roger Federer,100656,Ivan Lendl,0.6715419292449951,0.32845810055732727
21,103819,Roger Federer,100581,John Mcenroe,0.9306559562683105,0.06934401392936707
22,103819,Roger Federer,104745,Rafael Nadal,0.5069683194160461,0.49303165078163147
23,103819,Roger Federer,104925,Novak Djokovic,0.6477537751197815,0.3522462546825409
24,103819,Roger Federer,101948,Pete Sampras,0.6451358795166016,0.35486409068107605
25,103819,Roger Federer,100437,Bjorn Borg,0.9999568462371826,4.3100069888168946e-05
26,103819,Roger Federer,100282,Guillermo Vilas,0.979259729385376,0.020740261301398277
27,103819,Roger Federer,101736,Andre Agassi,0.6883249282836914,0.31167498230934143
28,103819,Roger Federer,100119,Ilie Nastase,0.9951363205909729,0.004863695707172155
29,103819,Roger Federer,101414,Boris Becker,0.7557008266448975,0.24429918825626373
30,103819,Roger Federer,100029,Rod Laver,0.908827543258667,0.09117244184017181
31,103819,Roger Federer,104918,Andy Murray,0.4781627058982849,0.5218372941017151
32,103819,Roger Federer,101404,Thomas Muster,0.9999200105667114,8.002250251593068e-05
33,103819,Roger Federer,101222,Stefan Edberg,0.6387653946876526,0.3612346649169922
34,103819,Roger Federer,100126,Stan Smith,0.9291474223136902,0.07085254043340683
35,103819,Roger Federer,102021,Michael Chang,0.910627543926239,0.0893724113702774
36,103819,Roger Federer,100074,Arthur Ashe,0.6368674039840698,0.3631325960159302
37,103819,Roger Federer,100016,Ken Rosewall,0.9018018841743469,0.09819807857275009
38,103819,Roger Federer,101062,Mats Wilander,0.8918393850326538,0.10816062241792679
39,100656,Ivan Lendl,100581,John Mcenroe,0.5654832124710083,0.4345167577266693
40,100656,Ivan Lendl,104745,Rafael Nadal,0.323323130607605,0.676676869392395
41,100656,Ivan Lendl,104925,Novak Djokovic,0.44592058658599854,0.5540794134140015
42,100656,Ivan Lendl,101948,Pete Sampras,0.4516579508781433,0.5483419895172119
43,100656,Ivan Lendl,100437,Bjorn Borg,0.9988601207733154,0.0011398906353861094
44,100656,Ivan Lendl,100282,Guillermo Vilas,0.6193339228630066,0.3806660771369934
45,100656,Ivan Lendl,101736,Andre Agassi,0.5027921795845032,0.49720776081085205
46,100656,Ivan Lendl,100119,Ilie Nastase,0.8254046440124512,0.17459532618522644
47,100656,Ivan Lendl,101414,Boris Becker,0.5106727480888367,0.48932719230651855
48,100656,Ivan Lendl,100029,Rod Laver,0.5545403361320496,0.4454596936702728
49,100656,Ivan Lendl,104918,Andy Murray,0.31501033902168274,0.6849896311759949
50,100656,Ivan Lendl,101404,Thomas Muster,0.997785210609436,0.0022147484123706818
51,100656,Ivan Lendl,101222,Stefan Edberg,0.4535141885280609,0.5464857816696167
52,100656,Ivan Lendl,100126,Stan Smith,0.5723527669906616,0.427647203207016
53,100656,Ivan Lendl,102021,Michael Chang,0.5640724301338196,0.43592754006385803
54,100656,Ivan Lendl,100074,Arthur Ashe,0.4517645239830017,0.5482355356216431
55,100656,Ivan Lendl,100016,Ken Rosewall,0.5548936128616333,0.4451063871383667
56,100656,Ivan Lendl,101062,Mats Wilander,0.5522057414054871,0.44779422879219055
57,100581,John Mcenroe,104745,Rafael Nadal,0.20311324298381805,0.7968868017196655
58,100581,John Mcenroe,104925,Novak Djokovic,0.42528167366981506,0.5747182965278625
59,100581,John Mcenroe,101948,Pete Sampras,0.4166426658630371,0.5833572745323181
60,100581,John Mcenroe,100437,Bjorn Borg,0.8097494840621948,0.1902504861354828
61,100581,John Mcenroe,100282,Guillermo Vilas,0.6172970533370972,0.38270288705825806
62,100581,John Mcenroe,101736,Andre Agassi,0.4936155378818512,0.5063844323158264
63,100581,John Mcenroe,100119,Ilie Nastase,0.6730754375457764,0.326924592256546
64,100581,John Mcenroe,101414,Boris Becker,0.5076714158058167,0.49232855439186096
