,id,name
0,100284,Jimmy Connors
1,103819,Roger Federer
2,100656,Ivan Lendl
3,100581,John Mcenroe
4,104745,Rafael Nadal
5,104925,Novak Djokovic
6,101948,Pete Sampras
7,100437,Bjorn Borg
8,100282,Guillermo Vilas
9,101736,Andre Agassi
10,100119,Ilie Nastase
11,101414,Boris Becker
12,100029,Rod Laver
13,104918,Andy Murray
14,101404,Thomas Muster
15,101222,Stefan Edberg
16,100126,Stan Smith
17,102021,Michael Chang
18,100074,Arthur Ashe
19,100016,Ken Rosewall
20,101062,Mats Wilander
